xc,xc_sigmalow,xc_sigmahigh,xc_sigma3low,xc_sigma3high,yc,yc_sigmalow,yc_sigmahigh,yc_sigma3low,yc_sigma3high,theta,theta_sigmalow,theta_sigmahigh,theta_sigma3low,theta_sigma3high,Ic,Ic_sigmalow,Ic_sigmahigh,Ic_sigma3low,Ic_sigma3high,hr,hr_sigmalow,hr_sigmahigh,hr_sigma3low,hr_sigma3high,inc,inc_sigmalow,inc_sigmahigh,inc_sigma3low,inc_sigma3high,z_scale,z_scale_sigmalow,z_scale_sigmahigh,z_scale_sigma3low,z_scale_sigma3high,e,e_sigmalow,e_sigmahigh,e_sigma3low,e_sigma3high,ns,ns_sigmalow,ns_sigmahigh,ns_sigma3low,ns_sigma3high,Ie,Ie_sigmalow,Ie_sigmahigh,Ie_sigma3low,Ie_sigma3high,rscale,rscale_sigmalow,rscale_sigmahigh,rscale_sigma3low,rscale_sigma3high,z0,z0_sigmalow,z0_sigmahigh,z0_sigma3low,z0_sigma3high,z,sfr,rms,mass,Ra,Dec,SN,name,re,re_sigmalow,re_sigmahigh
-1.0007810885216217e-05,1.202809620814902e-07,1.2087603428455997e-07,2.2575377232155665e-07,2.251835161761938e-07,-1.1518404823943269e-05,1.887936094269442e-07,1.862815940492865e-07,3.556871623928806e-07,3.490962090940985e-07,-24.63352972926113,0.1746825589105327,0.171168529189142,0.3356235703003989,0.3191664022391443,3.7553526110171904,0.0345293195086213,0.0334524816212495,0.065198405075606,0.0630615340910027,1.2890314021994955,0.0068658082589172,0.0071053842052686,0.013117114280537,0.0133688785553491,75.32138958329571,0.1919131191557994,0.1933681934296487,0.3666795233342981,0.3567231238672548,0.1990270201453532,0.0005456296630046,0.0005326794684261,0.0010212302355157,0.001023310341325,,,,,,,,,,,,,,,,,,,,,0.2565514846348694,2.775557561562892e-17,0.0,5.551115123125783e-17,2.775557561562892e-17,2.063197,31.75790131655627,0.04233647,6579779425.0598345,34.4,-4.9999895739936,15.006262,clean_image_1,,,
7.298063872142266e-06,9.20425450972561e-08,9.282781924052813e-08,1.6793959689035084e-07,1.7678395644879999e-07,-2.4069735110612584e-06,1.15298689018856e-07,1.129412986603146e-07,2.176557198075329e-07,2.133864160802583e-07,-36.72097375312562,0.1353855844330596,0.1349161481127154,0.2456455317616885,0.2492081774586338,1.9741763471350533,0.0517643345827039,0.0558085387523397,0.0930876161402138,0.1084417181780035,1.2919480441614413,0.013811248622213,0.0135161020401801,0.026691477043655,0.0244606710128152,82.7364812749717,0.293942930775259,0.2880145144123105,0.5763539060246359,0.5218284410078411,0.1983859563243968,0.0010272278940236,0.0010719109507399,0.0018428096088888,0.0020925665084479,0.5531897984991722,0.0251946475425925,0.0274405560909676,0.0457758591554467,0.0529850156422151,0.5114792352697463,0.0084539302586112,0.0175637710454944,0.0109186452836624,0.0416385374070041,1.5662110745112807,0.0538966021947162,0.0562338863007523,0.0999954789340291,0.1057851384787906,0.4564397290802131,0.012627990267391,0.0144898620407358,0.0223780221203868,0.0278443899922856,0.2563035562515948,2.775557561562892e-17,0.0,5.551115123125783e-17,2.775557561562892e-17,1.2251537,3.146144160702921,0.030535791,3374817001.794229,34.4,-4.9999895739936,13.848985,clean_image_10,0.9895105848109103,0.029348700836007744,0.033074229839498405
-3.930745019391285e-05,1.9611379113738397e-08,1.879528778614577e-08,3.6866942830909844e-08,3.5863007430203065e-08,2.392272967423397e-05,1.9352140566527616e-08,1.9926676366410577e-08,3.668731173670376e-08,3.747576830623485e-08,12.073107175795624,0.0050321335541472,0.0049463826607158,0.0093622567048061,0.0093313059515445,2.069247916705688,0.0027264506331241,0.0027296146781332,0.0051911129393698,0.0050548345505063,4.798756755017425,0.0025937173553058,0.002668942834485,0.0048932396391245,0.0050718625753942,84.64509404381478,0.0077218414772346,0.007514163366693,0.0145500048669333,0.0142414069397887,0.051943521199197,1.4436216743674709e-05,1.4044840303026327e-05,2.7392682724197703e-05,2.6513680519823363e-05,0.2201894007226155,0.0020887421564787,0.0021348731221773,0.0038694085022881,0.0038587201973204,3.999744376743137,0.0003912025443315,0.0001903697801561,0.0010056088968788,0.0002438449717536,2.466328569996559,0.0157999862140347,0.0156232161770426,0.0296003876843471,0.0305136186706,0.190193473059295,0.0008499431382699,0.0008521111691268,0.0016464630652997,0.0016339189939694,0.2492643138508518,1.3877787807814457e-17,1.3877787807814457e-17,2.775557561562892e-17,2.775557561562892e-17,1.0426681,4.433239234025384,0.018056704,59716182923.45217,192.52173913044,60.99999153282,44.68508,clean_image_100,1.5314975344267006,0.006893885881754857,0.00691413410771728
-1.0129852659214042e-05,1.016729372584558e-07,1.0237010697349737e-07,1.922960490403893e-07,1.949200192620037e-07,2.0979424155390515e-05,1.019111768654734e-07,1.0283817193305737e-07,1.9071156573951744e-07,1.9385509676897602e-07,21.77235647328573,0.0178546733471307,0.0176557457943786,0.0336785970529405,0.0344256994744434,0.6764764957276546,0.0016078847201591,0.0016049764698571,0.0030401444108022,0.0030757414658376,2.8944614873931034,0.0032106440206103,0.0033201937292197,0.0060431013442543,0.0063306863541576,89.85702312414698,0.1549351594293142,0.1009414989814558,0.3160904507431894,0.1350223739928679,0.1327908576669821,0.0002978544329472,0.0003011099386129,0.0005844023997697,0.0005753147301887,,,,,,,,,,,,,,,,,,,,,0.3843706282469686,0.0007532815170918,0.0007368253574097,0.00145745939897,0.0014079627529142,1.4930054,6.818587765117869,0.020616325,41957316933.631226,192.52173913044,60.99999153282,27.256248,clean_image_101,,,
2.5595543683519247e-05,3.922725744235312e-07,4.126876173412829e-07,7.129578279012348e-07,7.85790070117541e-07,4.68556657477592e-06,8.30546152712262e-08,8.111187966366e-08,1.497353521501611e-07,1.532735147330394e-07,-72.73798789705289,0.0452376576143649,0.0467328378580305,0.0866413408080859,0.088451261063696,0.4818038506051703,0.0027777369575713,0.0028814877606729,0.0052083402159449,0.0054729416300091,3.401631767526088,0.0111126032115831,0.010888338948177,0.021056667783994,0.0206610757054366,82.52164170445441,0.0495565408380258,0.0501038176593056,0.0934442762430336,0.0938867526981539,0.075419432940735,0.0001203088120444,0.0001236254736487,0.0002276129202887,0.0002351048315881,0.8223049364551004,0.0080988610181005,0.0086332482255614,0.0150295016339235,0.0151551289119185,0.5046667161544014,0.003488122950046,0.0075196827072734,0.0044636581146001,0.0182503714111994,97.00521339272233,4.473533157963942,2.217623570944326,10.35499607276236,2.8649673637896456,0.0457963224336783,0.0006593630851448,0.0007299886334461,0.001232221770723,0.0014331129199159,0.2565490782902762,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,2.0633488,38.67652021700954,0.015491653,8977136540.357224,192.52173913044,60.99999153282,18.63353,clean_image_102,0.2614025739296773,0.003859269769991426,0.0042499119716017915
1.2417571125234802e-05,8.837320276612507e-08,8.887421426954788e-08,1.6975287174851484e-07,1.675907507256239e-07,5.721459683112521e-07,4.198572377011967e-08,4.1902580737281426e-08,7.815903002125417e-08,7.941108847305269e-08,68.12671871080549,0.0301139750213792,0.0305622785557204,0.0572000446900631,0.057631933843993,0.6020903513426034,0.0084951855938979,0.0087180848264644,0.0158589895310322,0.0171497827888998,1.9582441437674727,0.0029010415748673,0.0029429420508888,0.0054149481460537,0.0055880432486292,84.5160352638084,0.1826524620437766,0.1895691796924978,0.3465101085671875,0.3727051698233197,0.1286702743442475,0.002038012111255,0.0020469316950178,0.0039772452368814,0.0038807161404399,,,,,,,,,,,,,,,,,,,,,0.2519672864857762,0.0038354470630481,0.0038041881541725,0.0074756732376517,0.0072854955445686,2.0090058,4.648727397268289,0.007551136,13205785010.474243,52.2,-28.999994138865,35.663425,clean_image_105,,,
5.864775757965719e-06,1.3675587309683747e-08,1.339825517795471e-08,2.5560722943251493e-08,2.5518390847686025e-08,1.182899507332137e-05,3.1972408572031566e-08,3.1083650743982274e-08,6.016088135067562e-08,5.8830653429501924e-08,-8.804646626116957,0.0113214991071526,0.011488351722301,0.0217222546768063,0.0218154646124286,1.3970939241312,0.0035472116264674,0.0035518827889207,0.0066699325472214,0.0066780672621258,2.04649808511598,0.0019350594186557,0.0019966431072147,0.0037409214267647,0.0037402061729467,89.85718720656781,0.148627190609119,0.100204871900587,0.2907207418779904,0.1343954070247974,0.1061465464845457,0.0002425493314187,0.0002442516258661,0.0004685453141207,0.0004570811439156,0.000245431558162,0.0001826885610949,0.0003942809370014,0.0002359174901157,0.0009809613977081,9.966185292608838,0.0550656495813139,0.0255861884544721,0.133220219208443,0.0323174191995718,9.927866395011176,0.123676595204456,0.0523882063513152,0.2933183725229593,0.0683800035213142,0.055436383610378,0.0001903541230735,0.000335699703625,0.0003243292402181,0.0008072180194181,0.2172332564540365,0.0004317528850347,0.0004317803608362,0.0008411534875541,0.0007983161935921,1.1862113,3.7586510799953774,0.009874547,12468791783.096174,52.2,-28.999994138865,38.521496,clean_image_106,0.19036985997357225,0.0006780115040297489,0.0011676669360774906
3.084459293385742e-05,2.6081869272160827e-08,2.5946612709964523e-08,4.8710109334544334e-08,4.8258534155736926e-08,2.022924630761443e-05,2.2241545949011283e-08,2.166158140721322e-08,4.2183049464333324e-08,4.141046508329414e-08,-33.47140752008253,0.0131960059376154,0.0133443792260763,0.0252494990400009,0.0254106525156743,0.7738285507109235,0.0020576776463766,0.0020126838612629,0.0038280144374536,0.0038026504902963,3.686960615037527,0.0037758810421748,0.0038902495015018,0.0070169579133279,0.0072881446608006,79.10551928484729,0.0265975593790273,0.0266277938989532,0.0494098617225091,0.0494790289730104,0.0696175052839656,3.669565762149524e-05,3.567559444927343e-05,6.866658872823478e-05,6.637255228805761e-05,0.3034901431887074,0.0062703194886334,0.006229753052962,0.011804486769074,0.0117648501230324,3.998394303683204,0.0026139922450578,0.0012103585042226,0.0066502593712725,0.0015390831006341,8.664655858138302,0.3906388969260348,0.4220862558674305,0.7317195498927997,0.8106891868721195,0.0518428647515698,0.0012015275780927,0.0012212967702205,0.002230002407561,0.0023307546283661,0.2566769151316178,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,2.0552425,27.66587425169453,0.0058261408,30549389482.643906,52.2,-28.999994138865,45.08576,clean_image_107,0.32073728365536913,0.0074407683402744895,0.007563396131692622
-1.0503466755588746e-05,1.780772905420973e-08,1.7961299726483202e-08,3.3401914021979164e-08,3.3515639294954085e-08,-3.4460001143351395e-06,1.1134000134290588e-08,1.0996962582556407e-08,2.1052465814874433e-08,2.049680144166097e-08,56.22728740332022,0.0033799711024968,0.0033927824677704,0.0064298371307529,0.0065064255854707,2.24182248560798,0.0007728847765071,0.0007456572711852,0.0014634275926135,0.0014380125505453,2.578062990546259,0.0005288083465901,0.0005436119581614,0.0010202938259236,0.0010155431806944,84.17089139080534,0.0040231450280714,0.0041708487689788,0.0075839269330657,0.0076995985834429,0.096860348130714,1.021100760774385e-05,9.9366032153686e-06,1.906900519042104e-05,1.918495677710047e-05,,,,,,,,,,,,,,,,,,,,,0.2497120708977726,2.775557561562892e-17,1.3877787807814457e-17,4.163336342344337e-17,2.775557561562892e-17,1.0516034,10.183747243375633,0.0041973516,10144685444.131186,52.2,-28.999994138865,76.736664,clean_image_108,,,
1.1391356722684032e-05,3.962177046335658e-07,3.818228578548372e-07,7.407467927042984e-07,7.185530523174287e-07,-1.1381331419717162e-05,1.5950409328210034e-07,1.6251945803170169e-07,2.954176615970712e-07,3.0469377565969445e-07,71.25571345819505,0.1310223656291356,0.1315026521902069,0.2516405752282082,0.2515267771694596,0.3101537579829693,0.0024670983297899,0.0024708387623362,0.0046724013429078,0.0045885194728601,2.158884939221955,0.0104869824726647,0.0105604380721193,0.019155900959912,0.0201246636941427,77.55970524679303,0.1344612330720735,0.1438970318794616,0.2621981575107526,0.2685425414852318,0.119648478588813,0.0002911714285196,0.0002920898543522,0.0005523502451195,0.0005357183448011,,,,,,,,,,,,,,,,,,,,,0.258307193006931,2.775557561562892e-17,0.0,2.775557561562892e-17,2.775557561562892e-17,1.3104111,0.8320450506465514,0.008700337,1213580879.8987515,52.2,-28.999994138865,12.979491,clean_image_109,,,
